delete,rewrite,text,type,options,tag,auto_label,suggested_options,simulated_answers,grade
x,,What is a hill you will die on?,multiple_choice,Pineapple does not belong on pizza|The Oxford comma is essential|Pineapple doesn't belong on pizza,,MC (suggested),Pineapple does not belong on pizza|The Oxford comma is essential|Pineapple doesn't belong on pizza,Pineapple does not belong on pizza | Pineapple does not belong on pizza | The Oxford comma is essential | Pineapple doesn't belong on pizza | Always use your turn signal | Pineapple on pizza is an abomination | Pineapple does not belong on pizza,A
,,Name something that is way harder than it looks,multiple_choice,Juggling|Golf|Parenting|Learning A Language|Baking,,MC (suggested),Golf|Parenting|Parallel parking,Golf | Golf | Golf | Parenting | Golf | Golf | Parallel parking,A
x,,Thick crust or thin crust — which is better?,multiple_choice,Thin crust|Thick crust,,MC (suggested),Thin crust|Thick crust,Thin crust | Thin crust | Thick crust | Thin crust | Thin crust | Thick crust | Thin crust,A
,,Which holiday has the best food?,multiple_choice,Thanksgiving|Christmas|Halloween|New Year's Eve|Easter,,Open (strong default),,Thanksgiving | Thanksgiving | Thanksgiving | Thanksgiving | Christmas | Thanksgiving | Thanksgiving,A
,,What is the best comfort show to rewatch?,multiple_choice,The Office|Friends|Parks and Rec|Seinfeld,,MC (suggested),The Office|Friends|Parks and Rec,The Office | Friends | The Office | The Office | Parks and Rec | The Office | The Office,A
x,,What is the most iconic movie quote?,multiple_choice,"May the Force be with you|I'll be back|Frankly, my dear, I don't give a damn",,MC (suggested),"May the Force be with you|I'll be back|Frankly, my dear, I don't give a damn","May the Force be with you. | May the Force be with you. | I'll be back. | Frankly, my dear, I don't give a damn. | May the Force be with you. | May the Force be with you. | May the Force be with you.",A
x,,What is the worst movie you have ever sat through?,multiple_choice,Movie 43|The Room|Cats (2019),,MC (suggested),Movie 43|The Room|Cats (2019),Movie 43 | The Room | Movie 43 | Movie 43 | Cats (2019) | Movie 43 | Movie 43,A
,,What is the most overused excuse?,multiple_choice,Traffic|My Alarm Didn't Go Off|I Forgot|I Didn't See The Email|I Was Sick,,MC (suggested),Traffic|I was stuck in traffic|I forgot,Traffic | I was stuck in traffic | I forgot | Traffic | My alarm didn't go off | Traffic was bad | Traffic,A
x,,What is the most American food?,multiple_choice,Hamburger|Cheeseburger|Hot Dog,,MC (suggested),Hamburger|Cheeseburger|Hot Dog,Hamburger | Cheeseburger | Hamburger | Hot Dog | Apple Pie | Hamburger | Cheeseburger,A
,,What is the best fast food breakfast?,multiple_choice,Egg McMuffin|Chicken Biscuit|Breakfast Crunchwrap|Sausage Biscuit|McGriddle,,MC-ternary (strong),Egg McMuffin|Chick-fil-A Chicken Biscuit|McDonald's Egg McMuffin,McDonald's Egg McMuffin | Egg McMuffin | Chick-fil-A Chicken Biscuit | Egg McMuffin | Egg McMuffin | Chick-fil-A Chicken Biscuit | Egg McMuffin,A
,,What is the best Girl Scout cookie?,multiple_choice,Thin Mints|Samoas|Tagalongs|Do-si-dos|Trefoils,,MC (suggested),Thin Mints|Samoas|Tagalongs,Thin Mints | Samoas | Thin Mints | Thin Mints | Thin Mints | Tagalongs | Thin Mints,A
x,,What is the most useless emoji?,multiple_choice,🕳️ (Hole Emoji)|🕳️|🕳️ (Hole),,MC (suggested),🕳️ (Hole Emoji)|🕳️|🕳️ (Hole),🕳️ (hole emoji) | 🕳️ (hole) | 🕳️ | 🔀 (shuffle button) | 🕳️ (hole emoji) | 💱 (currency exchange) | 🕳️,A
x,,What is the best thing to do on a first date?,open,,,Open (free-form),,Get coffee | Go for drinks | Coffee | Dinner | A coffee date | Coffee | Go for coffee,A
,,What is the most stressful thing about the holidays?,multiple_choice,Gift Shopping|Family Gatherings|Travel|Cooking|Financial Strain,,Open (free-form),,The cost of gifts | Financial stress | Dealing with family | Shopping for presents | Family drama | Money | Buying gifts,A
x,,What should they start teaching in school?,open,,,Open (free-form),,Financial literacy | How to manage money and do taxes | Personal finance | Practical life skills | Basic coding | Critical thinking and media literacy | Financial literacy and budgeting,A
,,"If you could eliminate one minor inconvenience forever, what?",multiple_choice,Traffic Jams|Slow Wi-Fi|Wet Socks|Long Lines|Dead Phone Battery,,Open (no data),,,
x,,What is the best guilty pleasure snack?,multiple_choice,Potato chips|Ice cream,,MC (suggested),Potato chips|Ice cream,Potato chips | Ice cream | Potato chips | Potato chips | Ice cream | Potato chips | Potato chips,A
,,What song would play every time you entered a room?,multiple_choice,Eye of the Tiger|Welcome to the Jungle|Seven Nation Army|Thunderstruck|Don't Stop Me Now,,MC (suggested),Eye of the Tiger|Welcome to the Jungle|Seven Nation Army,Eye of the Tiger | Eye of the Tiger | Welcome to the Jungle | Eye of the Tiger | Seven Nation Army | Eye of the Tiger | Eye of the Tiger,A
x,,What is the worst possible Wi-Fi password?,multiple_choice,Password|123456|Admin,,MC (suggested),Password|123456|Admin,password | 123456 | password | admin | MyKidsName | password123 | password,B
x,,What is the most embarrassing thing in your search history?,open,,,Open (free-form),,Symptoms of [embarrassing illness] | How to get rid of foot fungus | Do I have [weird medical symptom]? | My ex-partner's new partner's vacation photos | Why does my [body part] make that noise? | How to use basic household tool | Embarrassing medical condition symptoms,A
x,,What is the worst text to accidentally send to your boss?,open,,,Open (free-form),,"I love you. | I love you too, baby. | Can't wait for tonight, honey. | I love you, sweetie. | OMG, this job sucks! | Did you pick up the kids? | I love you!!!",B
,,Is a hot dog a sandwich?,multiple_choice,Yes|No,,Open (strong default),,No | No | No | No | Yes | No | No,A
,,What is the ideal number of pillows on a bed?,multiple_choice,4|2|3|1|5,,MC (suggested),4|2|3,4 | 4 | 4 | 2 | 4 | 3 | 4,A
,,"Diagonal or straight, right way to cut a sandwich?",multiple_choice,Diagonal|Straight,,Open (no data),,,
x,,Ketchup on eggs — acceptable or criminal?,multiple_choice,Acceptable|Criminal,,MC-binary (strong),Acceptable|Criminal,Acceptable | Acceptable | Acceptable | Acceptable | Acceptable | Criminal | Acceptable,A
,,What is the correct cheese for a grilled cheese?,multiple_choice,Cheddar|American|Swiss|Provolone|Muenster,,Open (no data),,,
,,Cake or pie?,multiple_choice,Cake|Pie,,SKIP (auto),Cake|Pie,Cake | Cake | Pie | Cake | Cake | Pie | Cake,A
,,Boneless wings or bone-in wings?,multiple_choice,Bone-in|Boneless,,MC (suggested),Bone-in|Boneless,Bone-in | Boneless | Bone-in | Bone-in | Boneless | Bone-in | Boneless,B
x,,What item of clothing should have stayed in the early 2000s?,open,,,Open (no data),,,
x,,What food texture instantly triggers your gag reflex?,open,,,Open (no data),,,
,,What TV show went on at least two seasons too long?,open,,,Open (no data),,,
x,,Name a social media trend that needs to die,open,,,Open (no data),,,
,,Which children's character is secretly insufferable?,multiple_choice,Caillou|Peppa Pig|Dora The Explorer|Elmo|Arthur,,Open (no data),,,
x,,What is the worst thing to find in a shared fridge at work?,open,,,Open (no data),,,
x,,What is the most annoying 'quirk' people pass off as a personality?,open,,,Open (no data),,,
x,,What is the most universally ignored piece of etiquette?,open,,,Open (no data),,,
x,,Name a celebrity everyone pretends to like but finds annoying,open,,,Open (no data),,,
x,,What is the most overrated vacation destination?,open,,,Open (no data),,,
x,,What is the most common lie people tell about their weekend?,open,,,Open (no data),,,
x,,Name a food everyone pretends to like for health reasons,open,,,Open (no data),,,
x,,Pineapple on pizza: masterpiece or crime against humanity?,open,,,Open (no data),,,
x,,Milk before cereal or after? Your decision defines your worldview.,open,,,Open (no data),,,
,,Is it 'gif' with a hard G or a soft G?,multiple_choice,Hard G|Soft G,,Open (no data),,,
,,Leaving voicemails: thoughtful or a waste of everyone's time?,multiple_choice,Thoughtful|Waste Of Time,,Open (no data),,,
,,What is the worst public display of affection?,multiple_choice,Deep Kissing|Baby Talk|Feeding Each Other|Touching Butts|Excessive Hugging,,Open (no data),,,
x,,What is the most questionable stain in a hotel room?,open,,,Open (no data),,,
x,,What is the worst thing to find floating in a public pool?,open,,,Open (no data),,,
x,,What is the most unsettling thing for a smart speaker to say at 3 AM?,open,,,Open (no data),,,
x,,What is the worst animal sound to make during a job interview?,open,,,Open (no data),,,
x,,What is the worst thing to accidentally step in while barefoot outside?,open,,,Open (no data),,,
x,,What is the most infuriating thing in a public bathroom?,open,,,Open (no data),,,
x,,What is the most aggressively basic fall drink order?,open,,,Open (no data),,,
x,,Which celebrity is undeniably famous for absolutely nothing?,open,,,Open (no data),,,
x,,What is the worst Christmas gift to unwrap?,open,,,Open (no data),,,
,,What is the most suspicious neighborly favor to be asked?,multiple_choice,Help Me Bury Something|Watch My House For Months|Drive Me Far Away|Hold This Briefcase,,Open (no data),,,
,,What is the most inappropriate place to fall asleep in public?,open,,,Open (no data),,,
,,Who in this room would be the worst roommate?,open,,,Open (free-form),,"David, he's a total slob. | Megan, she's super messy. | David, his room is always a disaster zone. | Definitely Megan, she never cleans. | David, I heard he leaves dishes for days. | Megan, she's really unorganized. | David, he's just not tidy at all.",B
,,Who in this room would be the worst at keeping a secret?,open,,,Open (free-form),,"Sarah, she tells everything. | Probably Mike, he just gets too excited. | Definitely Sarah, she's a total blabbermouth. | Sarah, no doubt. She can't hold water. | I'd say Mike, he sometimes lets things slip accidentally. | Sarah, she loves a good gossip session. | Sarah, it's not even a question.",A
,,Who in this room would cry first during a sad movie?,open,,,Open (free-form),,"Emily, she's so sensitive. | Probably Tom, he gets really invested in stories. | Emily, hands down. She cries at commercials. | Emily, she has the biggest heart. | Tom, he's surprisingly emotional. | Emily, she's very empathetic. | Definitely Emily, she's a softie.",A
,,Who in this room would last the longest without their phone?,open,,,MC (suggested),The oldest person|The one who reads books|The one who doesn't use social media,The oldest person | The oldest person | The oldest person | The one who reads books | The one who doesn't use social media | The oldest person | The oldest person,A
,,Who in this room is most likely to start a fight over a board game?,open,,,Open (free-form),,"Chris, he's way too competitive. | Lisa, she takes games super seriously. | Chris, no question. He hates losing. | Chris, he's such a sore loser. | Lisa, she gets really intense. | Chris, he'll flip the board. | Lisa, she absolutely has to win.",B
x,,Who in this room is most likely to go viral?,open,,,Open (no data),,,
,,Who in this room would survive the longest in a horror movie?,open,,,MC-ternary (strong),The quiet one|The smart one|The one who doesn't panic,The quiet one | The smart one | The one who doesn't panic | The quiet one | The smart one | The quiet one | The quiet one,B
,,Who in this room would be the most dramatic over a paper cut?,open,,,Open (no data),,,
,,Who in this room has the worst taste in music?,open,,,MC (suggested),The oldest person|The one who only listens to country music|The one who plays pop music,The oldest person | The one who only listens to country music | The one who plays pop music | The oldest person | The one who listens to obscure jazz | The oldest person | The youngest person,B
x,,Who in this room has the most suspicious browser history?,open,,,Open (no data),,,
x,,Who in this room would hoard toilet paper during a crisis?,open,,,Open (no data),,,
,,Who in this room would accidentally join a pyramid scheme?,open,,,Open (no data),,,
,,Who in this room would ruin a surprise party?,open,,,Open (no data),,,
x,,Who in this room would be caught singing off-key at a wedding?,open,,,Open (no data),,,
,,Who in this room would panic and call 911 for a minor inconvenience?,open,,,Open (no data),,,
,,Who in this room would be the last to notice a fire in the building?,open,,,Open (no data),,,
,,Who in this room would win a hot dog eating contest?,open,,,Open (no data),,,
x,,Who in this room would try to haggle at a fancy restaurant?,open,,,Open (no data),,,
x,,Who in this room would sneak snacks into a movie theater the worst way?,open,,,Open (no data),,,
,,Would you rather fight one horse-sized duck or a hundred duck-sized horses?,multiple_choice,Fight One Horse-sized Duck|A Hundred Duck-sized Horses,,MC-binary (strong),Fight One Horse-sized Duck|A Hundred Duck-sized Horses,One horse-sized duck | One horse-sized duck | A hundred duck-sized horses | One horse-sized duck | One horse-sized duck | A hundred duck-sized horses | One horse-sized duck,A
,,Would you rather be the funniest person in the room or the smartest?,multiple_choice,The Funniest Person In The Room|The Smartest,,MC-binary (strong),Be The Funniest Person In The Room|The Smartest,The smartest | The smartest | The funniest | The smartest | The smartest | The funniest | The smartest,A
,,Would you rather be famous for something embarrassing or unknown forever?,multiple_choice,Famous For Something Embarrassing|Unknown Forever,,MC-binary (strong),Be Famous For Something Embarrassing|Unknown Forever,Unknown forever | Unknown forever | Unknown forever | Unknown forever | Unknown | Famous for something embarrassing | Unknown forever,A
,,Would you rather always be 10 minutes late or 20 minutes early?,multiple_choice,Always Be 10 Minutes Late|20 Minutes Early,,MC-binary (strong),Always Be 10 Minutes Late|20 Minutes Early,20 minutes early | 20 minutes early | 20 minutes early | 20 minutes early | 10 minutes late | 20 minutes early | 20 minutes early,A
,,Would you rather live without music or without movies?,multiple_choice,Without Music|Without Movies,,MC-binary (strong),Live Without Music|Without Movies,Without movies | Without movies | Without music | Without movies | Without movies | Without movies | Without movies,A
,,Would you rather have unlimited money or unlimited time?,multiple_choice,Unlimited Money|Unlimited Time,,MC-binary (strong),Have Unlimited Money|Unlimited Time,Unlimited time | Unlimited time | Unlimited time | Unlimited money | Time | Unlimited time | Unlimited money,A
,,Would you rather always speak your mind or never speak again?,multiple_choice,Always Speak Your Mind|Never Speak Again,,MC-binary (strong),Always Speak Your Mind|Never Speak Again,Always speak my mind | Speak my mind | Always speak your mind | Never speak again | Speak my mind | Always speak my mind | Speak my mind,A
,,Would you rather sweat mayonnaise or cry hot sauce?,multiple_choice,Sweat Mayonnaise|Cry Hot Sauce,,MC-binary (strong),Sweat Mayonnaise|Cry Hot Sauce,,
x,,Would you rather your phone always be at 5% or your Wi-Fi always be 2G?,multiple_choice,Your Phone Always Be At 5%|your Wi-Fi always be 2G,,MC-binary (strong),Your Phone Always Be At 5%|your Wi-Fi always be 2G,,
x,,Would you rather give up cheese forever or chocolate forever?,multiple_choice,Give Up Cheese Forever|Chocolate Forever,,MC-binary (strong),Give Up Cheese Forever|Chocolate Forever,,
x,,Would you rather never use the internet again or never eat pizza again?,open,,,SKIP (auto),Never Use The Internet Again|Never Eat Pizza Again,Never eat pizza again | Never eat pizza again | Never eat pizza again | Never eat pizza again | Never use the internet again | Never eat pizza again | Never eat pizza again,A
,,Would you rather have no taste buds or be colorblind?,multiple_choice,No Taste Buds|Be Colorblind,,SKIP (auto),Have No Taste Buds|Be Colorblind,Be colorblind | Be colorblind | No taste buds | Be colorblind | Be colorblind | Be colorblind | Be colorblind,A
,,Would you rather never age physically or never age mentally?,multiple_choice,Never Age Physically|Never Age Mentally,,SKIP (auto),Never Age Physically|Never Age Mentally,Never age mentally | Never age physically | Never age mentally | Never age mentally | Never age mentally | Never age physically | Never age mentally,A
,,Would you rather your sweat smell like bleu cheese or your breath smell like tuna?,multiple_choice,Your Sweat Smell Like Bleu Cheese|Your Breath Smell Like Tuna,,MC-binary (strong),Your Sweat Smell Like Bleu Cheese|Your Breath Smell Like Tuna,,
,,Would you rather only communicate through dance or through opera singing?,multiple_choice,Only Communicate Through Dance|Through Opera Singing,,MC-binary (strong),Only Communicate Through Dance|Through Opera Singing,,
,,Would you rather have knees that bend both ways or elbows that only bend forward?,multiple_choice,Knees That Bend Both Ways|Elbows That Only Bend Forward,,MC-binary (strong),Have Knees That Bend Both Ways|Elbows That Only Bend Forward,,
,,Would you rather your bed always feel sandy or your shower always run ice cold?,multiple_choice,Your Bed Always Feel Sandy|Your Shower Always Run Ice Cold,,MC-binary (strong),Your Bed Always Feel Sandy|Your Shower Always Run Ice Cold,,
,,"If you were abducted, who would you choose: Aliens, Pirates, or Ghosts?",multiple_choice,Aliens|Pirates|Ghosts|Vampires|Government Agents,,Open (no data),,,
,,"Pick your permanent body scent: old library books, fresh cut grass, or new car smell?",multiple_choice,Old Library Books|Fresh Cut Grass|New Car Smell|Fresh Baked Bread,,Open (no data),,,
,,"You can only eat one cuisine forever: Mexican, Italian, or Japanese?",multiple_choice,Mexican|Italian|Japanese|Indian|Chinese,,Open (no data),,,
,,"Pick your nightmare roommate: a loud chewer, a sleep talker, or a thermostat dictator?",multiple_choice,A Loud Chewer|A Sleep Talker|A Thermostat Dictator|A Food Thief|A Constant Mess-Maker,,Open (no data),,,
,,"You're stuck in an elevator with one celebrity: The Rock, Oprah, or Gordon Ramsay?",multiple_choice,The Rock|Oprah Winfrey|Gordon Ramsay|Tom Hanks|Kevin Hart,,Open (no data),,,
,,"Your shower now only dispenses one liquid: lukewarm gravy, flat soda, or dish soap?",multiple_choice,Lukewarm Gravy|Flat Soda|Dish Soap|Maple Syrup|Saltwater,,Open (no data),,,
,,"Pick your useless superpower: you can talk to ants, you glow in the dark, or you can taste colors?",multiple_choice,Talk To Ants|Glow In The Dark|Taste Colors|Summon A Single Pigeon|Make Bread Stale Instantly,,Open (no data),,,
,,"You must wear one costume to work every day: hot dog suit, banana suit, or inflatable dinosaur?",multiple_choice,Hot Dog Suit|Banana Suit|Inflatable Dinosaur|Chicken Suit|Cupcake Suit,,Open (no data),,,
,,"Pick your worst tattoo: a toilet, your ex's face, or a QR code to a Rick Roll?",multiple_choice,A Toilet|Your Ex's Face|A QR Code To A Rick Roll|A Misspelled Word|A Corporate Logo,,Open (no data),,,
,,"You can only listen to one artist forever: Nickelback, Kidz Bop, or the Frozen soundtrack?",multiple_choice,Elevator Music|Autotuned Pop|Commercial Jingles,,Open (no data),,,
,,"Zombie apocalypse weapon: a frying pan, a golf club, or a bag of doorknobs?",multiple_choice,Baseball Bat|Crowbar|Garden Hoe|Fire Poker,,Open (no data),,,
,,"Your car horn is replaced with one sound: a goat scream, a fart, or the Macarena?",multiple_choice,Vuvuzela Blast|Baby Crying|Kazoo Solo|Laugh Track,,Open (no data),,,
,,"Pick your new neighbor: someone who mows at 6 AM, a loud drummer, or a guy with 12 cats?",multiple_choice,Constant Party Host|Barking Dog Owner|Early Morning Builder|Conspiracy Theorist,,Open (no data),,,
,,"You must get a face tattoo: a tiny mustache, a third eyebrow, or a permanent teardrop?",multiple_choice,Forehead Target|Giant Mole|Barcode|Permanent Unibrow,,Open (no data),,,
,,"Pick your prison cellmate: a close talker, a loud snorer, or someone who narrates everything?",multiple_choice,Constant Hummer|Nail Clipper|Finger Tapper|Never Talks,,Open (no data),,,
,,"Your voice permanently changes to: Morgan Freeman, Gilbert Gottfried, or Siri?",multiple_choice,Darth Vader|A Chipmunk|Game Show Announcer|Pirate Accent,,Open (no data),,,
,,"You can only drink one thing forever: room temperature milk, black coffee, or pickle juice?",multiple_choice,Flat Soda|Warm Water|Unsweetened Tea|Tomato Juice,,Open (no data),,,
,,"Worst haunted house ghost: moves furniture, hides keys, or eats leftovers?",multiple_choice,Replaces Sugar With Salt|Changes TV Channel|Leaves Wet Towels|Unties Your Shoes,,Open (no data),,,
,,"You time travel but can only visit: the dinosaurs, ancient Rome, or the year 3000?",multiple_choice,Medieval Times|Wild West|Roaring Twenties|Stone Age,,Open (no data),,,
,,You get one free crime with no consequences: what do you do?,multiple_choice,Rob A Bank|Steal A Sports Car|Free Zoo Animals|Prank A Leader,,Open (no data),,,
,,"Pick your apocalypse buddy: a doctor, a mechanic, or a chef?",multiple_choice,Doctor|Mechanic|Farmer|Engineer|Scout,,Open (no data),,,
,,You can add one ridiculous rule to any sport — what is it?,multiple_choice,Wear Silly Hats|Animal On Field|Rubber Chicken Ball|Must Play Blindfolded,,Open (no data),,,
,,You must rename yourself after a food — what's your new name?,multiple_choice,Muffin|Noodle|Potato|Cookie|Apple,,Open (no data),,,
,,Which fictional villain actually had a point?,multiple_choice,Thanos|Magneto|Killmonger|Syndrome,,Open (no data),,,
,,"Pick your worst way to travel: riding a donkey, a tandem bike with a stranger, or a pogo stick?",multiple_choice,Pogo Stick|Unicycle|Roller Skates Uphill|Tandem With Stranger,,Open (no data),,,
,,Your life gets a laugh track — which situation would be the most annoying?,multiple_choice,During An Argument|At A Funeral|Job Interview|First Date|Dentist Appointment,,Open (no data),,,
,,"You have to fight one animal: a kangaroo, an ostrich, or a very angry goose?",multiple_choice,Kangaroo|Ostrich|Angry Goose|Badger,,Open (no data),,,
,,"Pick your personal hell: eternal hold music, permanent wet socks, or never-ending hiccups?",multiple_choice,Eternal Hold Music|Permanent Wet Socks|Never-Ending Hiccups|Always Slow Wifi,,Open (no data),,,
,,"You wake up as an animal for a day: a house cat, a dolphin, or an eagle?",multiple_choice,House Cat|Dolphin|Eagle|Dog|Monkey,,Open (no data),,,
,,"Which mythical creature would be the most annoying roommate: a goblin, a unicorn, or Bigfoot?",multiple_choice,Goblin|Vampire|Werewolf|Unicorn|Dragon,,Open (no data),,,
,,"Celebrity narrating your life: David Attenborough, Snoop Dogg, or your mom?",multiple_choice,Morgan Freeman|David Attenborough|Ryan Reynolds|Kristen Bell|Patrick Stewart,,Open (no data),,,
,,You can only use one condiment for the rest of your life — which one?,multiple_choice,Ketchup|Mayonnaise|Hot Sauce|Soy Sauce|Ranch Dressing,,Open (no data),,,
,,Which fast food mascot would win in a fight?,multiple_choice,The Burger King|Ronald McDonald|Jack In The Box|Colonel Sanders,,Open (no data),,,
,,"Pick your new ringtone that you can never change: a baby crying, a dial-up modem, or the Macarena?",multiple_choice,Baby Crying|Dial-Up Modem|The Macarena|Bagpipes|Vuvuzela,,Open (no data),,,
,,"You must eat one weird combo every day: ketchup on ice cream, mayo on cookies, or mustard on cereal?",multiple_choice,Ketchup On Ice Cream|Mustard On Cereal|Mayonnaise On Cookies|Hot Sauce On Yogurt|Soy Sauce On Apples,,Open (no data),,,
,,"Trapped in a movie for a week: Jurassic Park, Titanic, or The Hunger Games?",multiple_choice,Jurassic Park|The Hunger Games|Titanic|A Quiet Place|Contagion,,Open (no data),,,
x,,Pick your supervillain name based on your worst habit,open,,,Open (no data),,,
x,,"If your life was a reality show, what would it be called?",open,,,Open (no data),,,
x,,You can only watch one movie for the rest of your life — what is it?,open,,,Open (no data),,,
x,,"If you could only shop at one store forever, which one?",open,,,Open (no data),,,
x,,What is the most chaotic thing a kid has ever said to you?,open,,,SKIP (auto),,"My imaginary friend told me to push you down the stairs | Are you going to die soon like grandma did? | You have a monster in your car engine | I wish my brother would disappear forever | My mom told me your singing is bad | Can I lick your shoe? | When I grow up, I'm going to marry my cat",C
x,,"If this group started a band, what would the name be?",open,,,SKIP (auto),,The Flock Together Four (or Seven). | The Convergents. | The Strategic Squad. | The Consensus Seekers. | The Dissenters (ironically). | Flock of Seven. | The Majority Rules.,C
x,,What is the most irrational thing you get competitive about?,open,,,SKIP (auto),,"Board games with friends/family | Trivial Pursuit and other trivia games | Finding the best parking spot | Driving in general (getting places faster) | Board games, even simple ones | Winning arguments, even trivial ones | Trivial Pursuit or quiz games",C
x,,What is the worst possible song to walk down the aisle to?,open,,,SKIP (auto),,Another One Bites the Dust | I Will Survive | Highway to Hell | Single Ladies | WAP | Gold Digger | Another One Bites the Dust,C
x,,What expired food would you still eat?,open,,,SKIP (auto),,Yogurt (a few days) | Canned goods | Chips | Dry pasta | Yogurt | Honey | Canned food,C
x,,What is the most random thing you know way too much about?,open,,,Open (no data),,,
,,Name a food that people eat wrong,multiple_choice,Cupcakes|Sushi|Pizza|Tacos|Steak,,MC-ternary (strong),Bananas|Pizza|Steak (well done),Bananas | Bananas | Pizza | Steak (well done) | Bananas | Bananas | Pizza,B
,,What is a scam that we have all just agreed is fine?,multiple_choice,Bottled Water|Printer Ink|Movie Popcorn|Extended Warranties|College Textbooks,,Open (free-form),,Printer ink | Tipping culture | Convenience fees for tickets | Printer cartridges | Extended warranties | Printer ink prices | Bottled water,B
,,What is a dealbreaker on a road trip?,multiple_choice,Bad Music Choices|Constant Complaining|Not Sharing Driving|Messy Car|Poor Navigation,,Open (free-form),,Poor hygiene or body odor. | Constant complaining about everything. | Someone who refuses to share driving responsibilities. | Bad music taste and refusal to compromise. | Smelly person / poor hygiene. | Whining and complaining non-stop. | Someone constantly complaining.,B
,,What fictional character do you relate to the most?,multiple_choice,Harry Potter|Hermione Granger|SpongeBob SquarePants|Simba|Spider-Man,,SKIP (auto),,Jim Halpert from The Office | Liz Lemon from 30 Rock | Leslie Knope (Parks and Rec) | Jim Halpert | Liz Lemon | Spongebob Squarepants | Jim Halpert,B
x,,What is the worst thing about group projects?,open,,,SKIP (auto),,Uneven workload | Uneven workload | Freeloaders | Uneven workload | Freeloaders | Uneven workload | Scheduling conflicts,B
,,What is the funniest word in the English language?,multiple_choice,Fart|Giggle|Poop|Wobbly|Shenanigans,,MC (suggested),Fart|Giggle|Poop,Fart | Fart | Giggle | Fart | Poop | Wobbly | Fart,B
,,What is the best decade for music?,multiple_choice,1980s|1990s|2000s|1970s|1960s,,SKIP (auto),,1980s | 1980s | 1980s | 1990s | 1980s | 1980s | 1970s,A
,,What is the one thing in your home you would save in a fire?,multiple_choice,Photo Album|Pet|Important Documents|Sentimental Item,,SKIP (auto),,"My laptop | Important documents (passport, deeds) | My external hard drive | My laptop | Photo albums | My laptop | My laptop",B
x,,"If you could relive one day of your life, which would it be?",open,,,SKIP (auto),,My wedding day | The birth of my first child | My wedding day | A specific travel adventure | My wedding day | The birth of my first child | My wedding day,B
x,,What is the worst thing about living with someone?,open,,,SKIP (auto),,Messiness | Dirty dishes | Lack of privacy | Different cleanliness standards | The constant mess | Noise levels | Not doing chores,B
x,,What is the most toxic reality TV show?,multiple_choice,Real Housewives|Keeping Up With The Kardashians|90 Day Fiance,,MC (suggested),Real Housewives|Keeping Up With The Kardashians|90 Day Fiance,Real Housewives | Keeping Up With The Kardashians | Real Housewives | 90 Day Fiance | The Bachelor | Real Housewives | Real Housewives,B
,,What common phrase makes absolutely no sense?,multiple_choice,Break A Leg|Raining Cats And Dogs|Spill The Beans|Bite The Bullet|Cat Got Your Tongue,,SKIP (auto),,Break a leg | It's raining cats and dogs | Bite the bullet | Break a leg | Raining cats and dogs | Break a leg | Spill the beans,B
,,What is the best free thing in life?,multiple_choice,Laughter|Sunshine|A Good Night's Sleep|Hugs|Friendship,,SKIP (auto),,Sleep | Laughter | Sunshine | Sleep | Friendship | Sleep | Nature,B
,,What makes someone immediately likeable?,multiple_choice,Genuine Smile|Good Listener|Kindness|Sense Of Humor|Positive Attitude,,SKIP (auto),,"A genuine smile | Being friendly and approachable | A warm, welcoming smile | Making good eye contact | A bright smile | Being a good listener | Kindness",B
,,What is the most satisfying sound?,multiple_choice,Crackling Fire|Fresh Snow Crunch|Pen Clicking|Pouring Coffee|Pages Turning,,SKIP (auto),,Rain | Popping bubble wrap | Cat purring | Rain falling | Ocean waves | Popping bubble wrap | Rain,B
x,,What is the best excuse for being late?,multiple_choice,Traffic|Overslept|Car trouble,,MC (suggested),Traffic|Overslept|Car trouble,Traffic | Traffic | Overslept | Car trouble | Traffic | Public transport delay | Traffic,B
,,What is the most nostalgic smell?,multiple_choice,Freshly Baked Cookies|Rain|Freshly Cut Grass|Campfire Smoke|Old Books,,SKIP (auto),,Baking cookies | Fresh cut grass | Baking cookies | Rain | Baking cookies | Grandma's house | Baking cookies,B
,,What is the first app you check in the morning?,open,,,SKIP (auto),,Instagram | Facebook | Instagram | Weather app | Gmail | TikTok | Instagram,B
,,What childhood snack do you still eat as an adult?,open,,,SKIP (auto),,Goldfish crackers | Oreos | Pop-Tarts | Goldfish crackers | Cheez-Its | Oreos | Gushers,C
x,,What is the biggest first world problem?,multiple_choice,Slow Wi-Fi|Phone battery dying|No cell service,,MC (suggested),Slow Wi-Fi|Phone battery dying|No cell service,Slow Wi-Fi | Phone battery dying | Slow Wi-Fi | No cell service | Avocado not ripe | Slow Wi-Fi | Slow Wi-Fi,B
x,,What is everyone's biggest pet peeve?,open,,,Open (free-form),,Loud chewing | Chewing with mouth open | Not using turn signals | People who are always late | Loud chewing | Chewing loudly | Leaving dirty dishes,B
,,What is the best midnight snack?,multiple_choice,Cereal|Chips|Ice Cream|Toast|Popcorn,,MC (suggested),Cereal|Chips|Ice cream,Cereal | Chips | Ice cream | Cereal | Cereal | A bowl of cereal | Popcorn,B
,,What is the scariest animal?,multiple_choice,Shark|Snake|Spider,,MC-ternary (strong),Shark|Snake|Spider,Shark | Snake | Shark | Spider | Shark | Shark | Snake,B
